Code,Meaning
106,- BUSY
1020,- LOCATION REQUESTED
1022,- DISREGARD
1124,- ABANDONED VEHICLE
1023,- STANDBY
1039,- MESSAGE OR ITEM DELIVERED
1097,- ON SCENE
1098,- ASSIGNMENT COMPLETED
1110,- TAKE A REPORT
1141,- AMBULANCE REQUESTED
1144,- POSSIBLE FATALITY
1185,- TOW TRUCK
1198,- MEET
3A,- MOTOR CLUB
ADV,- ADVISE
AFA,- ASIAN-FEMALE-ADULT
AFJ,- ASIAN-FEMALE-JUVENILE
AIFU,- ACCIDENT INVESTIGATION FOLLOW UP
AMA,- ASIAN-MALE-ADULT
AMJ,- ASIAN-MALE-JUVENILE
ANS,- ANSWER
ASAP,- AS SOON AS POSSIBLE
ASC,- ASCERTAIN
ATO,- ATTEMPT TO CONTACT
ATV,- ALL TERRAIN VEHICLE
BC,- BROADCAST
BFA,- BLACK-FEMALE-ADULT
BFJ,- BLACK-FEMALE-JUVENILE
BGE,- BEIGE
BLK,- BLACK
BLU,- BLUE
BMA,- BLACK-MALE-ADULT
BMJ,- BLACK-MALE-JUVENILE
BO,- BAD ORDER (NOT FUNCTIONING)
BOT,- BACK ON TOP
BP,- BORDER PATROL
BREAK,- TRAFFIC BREAK LED BY OFFICER
BRN/BRO,- BROWN
BTWN/BET,- BETWEEN
C2,- CODE 2 (RESPOND QUICKLY)
C3,- CODE 3 (RESPOND AS QUICKLY AS POSSIBLE)
C4,- CODE 4 (SITUATION UNDER CONTROL)
CBX,- CALLBOX
CD,- CENTER DIVIDE
CDF,- CALIFORNIA DEPARTMENT OF FORESTRY
CHKPT,- CHECKPOINT
CIR,- CIRCLE OR CIRCUMSTANCE
CIT,- CITIZEN
CJ,- COUNTY JAIL
CK,- CHECK
CLR,- CLEAR
CMS,- CHANGEABLE MESSAGE SIGN
CO,- COUNTY - OR - CORRECTIONAL OFFICER
CON,- CONNECTOR - OR - CONNECTED
COPIED,- RECEIVED INFORMATION
COP,- COMPLAINT OF PAIN
COL,- COLLECTOR RAMP
CORDS,- COUNTY ROADS
CP,- COUPE (2 DOOR CAR)
"CT, C/T",- CALIFORNIA DEPARTMENT OF TRANSPORTATION (CALTRANS)
"CUS,CUST",- CUSTOMS
CV,- CONVERTIBLE
CVC,- CALIFORNIA VEHICLE CODE
CZP,- COZEEP
DISC,- DISCONNECT
DIV,- DIVISION
DL,- DRIVER'S LICENSE
DOA,- DEAD ON ARRIVAL
DOB,- DATE OF BIRTH
DOJ,- DEPARTMENT OF JUSTICE
DOT,- DEPARTMENT OF TRANSPORTATION - CaltRANS
DRE,- DRUG RECOGNITION EXPERT
DUI,- DRIVING UNDER THE INFLUENCE
DV,- DISABLED VEHICLE - OR - DOMESTIC VIOLENCE
EB,- EAST BOUND
EMT,- EMERGENCY MEDICAL TECHNICIAN
ENRT,- EN ROUTE
ER,- EMERGENCY ROOM - OR - EN ROUTE
ETA,- ESTIMATED TIME OF ARRIVAL
EVAL,- EVALUATION (USUALLY TO DETERMINE IF DUI)
